 Name,Launch Date,Launcher Type,Payload,Orbit Type,Application,Outcome
PSLV-C32/IRNSS-1F,"Mar 10, 2016",PSLV-XL,IRNSS-1F,GEO,Navigation,Successful
PSLV-C31/IRNSS-1E,"Jan 20, 2016",PSLV-XL,IRNSS-1E,GSO,Navigation,Successful
PSLV-C30/AstroSat MISSION,"Sep 28, 2015",PSLV-XL,Astrosat,,Space Science,Successful
GSLV-D6,"Aug 27, 2015",GSLV-MK-II,GSAT-6,GTO,Communication,Successful
PSLV-C27/IRNSS-1D,"Mar 28, 2015",PSLV-XL,IRNSS-1D,GSO,Navigation,Successful
LVM-3/CARE Mission,"Dec 18, 2014",GSLV-MK-III,Crew module Atmospheric Re-entry Experiment (CARE),,Experimental,Successful
PSLV-C26/IRNSS-1C,"Oct 16, 2014",PSLV-XL,IRNSS-1C,GEO,Navigation,Successful
PSLV-C24/IRNSS-1B,"Apr 04, 2014",PSLV-XL,IRNSS-1B,GSO,Navigation,Successful
GSLV-D5/GSAT-14,"Jan 05, 2014",GSLV-MK-II,GSAT-14,GSO,Communication,Successful
PSLV-C25,"Nov 05, 2013",PSLV-XL,Mars Orbiter Mission Spacecraft,Martian,Planetary Observation,Successful
PSLV-C22/IRNSS-1A,"Jul 01, 2013",PSLV-XL,IRNSS-1A,GSO,Navigation,Successful
PSLV-C20/SARAL,"Feb 25, 2013",PSLV-CA,SARAL,SSPO,"Climate & Environment, Earth Observation",Successful
PSLV-C19/RISAT-1,"Apr 26, 2012",PSLV-XL,RISAT-1,SSPO,Earth Observation,Successful
PSLV-C18/Megha-Tropiques,"Oct 12, 2011",PSLV-CA,Megha-Tropiques,SSPO,Student Satellite,Successful
PSLV-C18/Megha-Tropiques,"Oct 12, 2011",PSLV-CA,Megha-Tropiques,SSPO,"Climate & Environment, Earth Observation",Successful
PSLV-C18/Megha-Tropiques,"Oct 12, 2011",PSLV-CA,Megha-Tropiques,SSPO,Student Satellite,Successful
PSLV-C17/GSAT-12,"Jul 15, 2011",PSLV-XL,GSAT-12,GSO,Communication,Successful
PSLV-C16/RESOURCESAT-2,"Apr 20, 2011",PSLV-G,RESOURCESAT-2,SSPO,Student Satellite,Successful
PSLV-C16/RESOURCESAT-2,"Apr 20, 2011",PSLV-G,RESOURCESAT-2,SSPO,Earth Observation,Successful
GSLV-F06 / GSAT-5P,"Dec 25, 2010",GSLV-MK-II,GSAT-5P,GSO,Communication,Launch Unsuccessful
PSLV-C15/CARTOSAT-2B,"Jul 12, 2010",PSLV-CA,CARTOSAT-2B,SSPO,Student Satellite,Successful
PSLV-C15/CARTOSAT-2B,"Jul 12, 2010",PSLV-CA,CARTOSAT-2B,SSPO,Earth Observation,Successful
GSLV-D3 / GSAT-4,"Apr 15, 2010",GSLV-MK-II,GSAT-4,GSO,Communication,Launch Unsuccessful
PSLV-C14 / OCEANSAT-2,"Sep 23, 2009",PSLV-CA,Oceansat-2,SSPO,"Climate & Environment, Earth Observation",Successful
PSLV-C12 / RISAT-2,"Apr 20, 2009",PSLV-CA,RISAT-2,SSPO,Student Satellite,Successful
PSLV-C12 / RISAT-2,"Apr 20, 2009",PSLV-CA,RISAT-2,SSPO,Earth Observation,Successful
PSLV-C11,"Oct 22, 2008",PSLV-XL,Chandrayaan-1,Lunar,Planetary Observation,Successful
PSLV-C9 / CARTOSAT – 2A,"Apr 28, 2008",PSLV-CA,CARTOSAT – 2A,SSPO,Earth Observation,Successful
PSLV-C9 / CARTOSAT – 2A,"Apr 28, 2008",PSLV-CA,CARTOSAT – 2A,SSPO,Earth Observation,Successful
GSLV-F04 / INSAT-4CR,"Sep 02, 2007",GSLV-MK-II,INSAT-4CR,GSO,Communication,Successful
PSLV-C7 / CARTOSAT-2 / SRE-1,"Jan 10, 2007",PSLV-G,CARTOSAT-2,SSPO,Experimental,Successful
PSLV-C7 / CARTOSAT-2 / SRE-1,"Jan 10, 2007",PSLV-G,CARTOSAT-2,SSPO,Earth Observation,Successful
GSLV-F02 / INSAT-4C,"Jul 10, 2006",GSLV-MK-II,INSAT-4C,GSO,Communication,Launch Unsuccessful
PSLV-C6/CARTOSAT-1/HAMSAT,"May 05, 2005",PSLV-G,CARTOSAT-1,SSPO,Communication,Successful
PSLV-C6/CARTOSAT-1/HAMSAT,"May 05, 2005",PSLV-G,CARTOSAT-1,SSPO,Earth Observation,Successful
GSLV-F01 / EDUSAT(GSAT-3),"Sep 20, 2004",GSLV-MK-II,EDUSAT,GSO,Communication,Successful
PSLV-C5 /RESOURCESAT-1,"Oct 17, 2003",PSLV-G,IRS-P6 / RESOURCESAT-1,SSPO,Earth Observation,Successful
GSLV-D2 / GSAT-2,"May 08, 2003",GSLV-MK-II,GSAT-2,GSO,Communication,Successful
PSLV-C4 /KALPANA-1,"Sep 12, 2002",PSLV-G,KALPANA-1,GSO,"Climate & Environment, Communication",Successful
PSLV-C3 / TES,"Oct 22, 2001",PSLV-G,The Technology Experiment Satellite (TES),SSPO,Earth Observation,Successful
GSLV-D1 / GSAT-1,"Apr 18, 2001",GSLV-MK-II,GSAT-1,GSO,Communication,Successful
PSLV-C2/IRS-P4,"May 26, 1999",PSLV-G,Oceansat(IRS-P4),SSPO,Earth Observation,Successful
PSLV-C1 / IRS-1D,"Sep 29, 1997",PSLV-G,IRS-1D,SSPO,Earth Observation,Successful
PSLV-D3 / IRS-P3,"Mar 21, 1996",PSLV-G,IRS-P3,SSPO,Earth Observation,Successful
PSLV-D2,"Oct 15, 1994",PSLV-G,IRS-P2,SSPO,Earth Observation,Successful
PSLV-D1,"Sep 20, 1993",PSLV-G,,LEO,Earth Observation,Launch Unsuccessful
ASLV-D3,"May 20, 1992",,SROSS-C,,Experimental,Successful
ASLV-D2,"Jul 13, 1988",,SROSS-2,,"Earth Observation, Experimental",Launch Unsuccessful
ASLV-D1,"Mar 24, 1987",,SROSS-1,,Experimental,Launch Unsuccessful
SLV-3,"Apr 17, 1983",,Rohini Satellite RS-D2,LEO,Earth Observation,Successful
SLV-3D1,"May 31, 1981",,Rohini Satellite RS-D1,LEO,Earth Observation,Successful
SLV-3E2,"Jul 18, 1980",,Rohini Satellite RS-1,,,Successful
SLV-3E1,"Aug 10, 1979",,Rohini Technology Payload (RTP),,,Launch Unsuccessful
